id_orig,area_km2,ppl_per_km2,dwellings_per_km2,U7B001,U7B003,U7B004,U7C002,U7G001
482150213143011,0.01338574983018669,2091.776729373515,896.4757411600779,28,10,0,26,12
482150213143012,0.028277141442729196,4208.346173923393,1025.563353309062,119,47,0,112,29
482150213143013,0.02735449119638005,3180.4649326291665,987.0408411607758,87,19,0,86,27
482150213143014,0.015717959569906348,3817.2893709992854,827.0793637165118,60,27,0,60,13
482150213143015,0.019400955283743075,1597.8594634448893,360.8069756165879,31,5,0,28,7
482150213061005,0.03358394333813423,2947.8372745938536,863.5078885173914,99,18,0,99,29
482150213061006,0.042458347636960166,3085.3767819726445,753.6798246040048,131,32,0,131,32
482150213061007,0.03182522227587367,4838.929282726349,1099.7566551650793,154,40,0,154,35
482150213061008,0.02382367338904443,1133.3264840852057,461.72560462730604,27,21,0,27,11
482150213061009,0.2557765960302187,1739.7995239072834,523.8946880979236,445,136,1,439,134
482150213061010,0.014784655771829363,3178.9715449144005,1014.5653866748087,47,9,0,39,15
482150213061011,0.01264807205255563,1897.5223971111577,790.6343321296491,24,1,0,24,10
482150213061012,0.05022485618063451,4280.748942849114,1214.5380721571905,215,55,0,213,61
482150213061013,0.049660710097544095,4369.651573120205,1047.105446093321,217,47,0,215,52
482150214011007,0.016017581328111024,1186.1965680582998,374.5883899131473,19,13,1,15,6
482150213151008,0.11435303005147152,1329.2170739295948,332.3042684823987,152,49,0,148,38
482150213151009,0.024610978179437436,2153.5105030600407,731.380925567561,53,12,0,53,18
482150213151010,0.06390111965186941,3380.222462090787,970.2490400445778,216,69,0,211,62
482150213151011,0.062488511704657204,3616.664789012033,1024.188258835266,226,50,0,223,64
482150213151012,0.06334180845205149,3110.1101281174365,836.7301359909854,197,45,0,192,53
482150213152000,0.561130360263179,538.1993586273915,144.35148360535996,302,96,0,298,81
482150213152001,0.017888393441114054,5590.216937545857,1341.6520650110056,100,20,0,100,24
482150213152002,0.018187733210039532,1979.356062916526,659.7853543055087,36,19,0,36,12
482150213152003,0.015933141798288426,3075.3507764089372,1004.1961718886325,49,8,0,44,16
482150213152004,0.0180513869263078,4099.408001285131,941.7558921871247,74,10,0,74,17
482150213152005,0.03282806528212214,3472.638397063361,1005.2374307288676,114,36,0,109,33
482150213152006,0.01865493226425259,1232.9179047234397,482.44613663091127,23,8,0,21,9
482150213152007,0.029563214490765925,3044.323885283568,980.9488074802608,90,20,0,90,29
482150213152008,0.035353246377035435,2517.449148823066,792.0064737870321,89,48,0,89,28
482150213152009,0.016553137443891256,4530.8631221254,1087.407149310096,75,24,0,75,18
482150213152010,0.01820551762889483,2416.849709901439,878.8544399641596,44,7,0,44,16
482150213152011,0.02983416984276925,3888.159134688117,905.0025572118892,116,38,0,113,27
482150213152012,0.030839380379880516,3015.6247905899177,810.6518254273973,93,34,0,93,25
482150213152013,0.015531238682143811,4378.272808219686,1030.1818372281614,68,10,0,68,16
482150214011000,0.05014711453978801,1116.7143017883543,319.06122908238694,56,15,0,56,16
482150214011001,0.0991840822545052,1814.8073350935697,816.6633007921064,180,53,0,178,81
482150214011002,0.014583998107181712,959.9562408819753,617.1147262812699,14,1,0,14,9
482150214011004,0.01818864390398349,1209.545918658718,494.8142394512937,22,10,0,22,9
